gene,tier,split
SMAD3,positive,external
CHMP7,positive,external
CARD16,positive,external
NLRP7,positive,external
BRCC3,positive,external
TMEM106A,positive,external
OGT,positive,external
NLRP2,positive,external
LILRA5,positive,external
CASP3,positive,external
LILRA2,positive,external
CYCS,positive,external
CCL3,positive,external
ACP5,positive,external
MYD88,positive,external
PLCG2,positive,external
TLR4,positive,external
TNF,positive,external
TYROBP,positive,external
F2R,positive,external
PRKD1,positive,external
RAD21,positive,external
DHX33,positive,external
CHMP2B,positive,external
ERRFI1,positive,external
GBP1,positive,external
ZDHHC12,positive,train
ZDHHC1,positive,train
ELANE,positive,train
GBP2,positive,train
ZC3H12A,positive,train
TRIM65,positive,train
GSDMB,positive,train
NLRC4,positive,train
JAK2,positive,train
PML,positive,train
HSPA8,positive,train
GHRL,positive,train
ABHD17A,positive,train
MAVS,positive,train
CARD18,positive,train
GHSR,positive,train
NLRP1,positive,train
LPL,positive,train
LILRB4,positive,train
NLRP9,positive,train
LATS1,positive,train
CPTP,positive,train
NOD1,positive,train
DDX3X,positive,train
PYDC5,positive,train
PANX1,positive,train
GZMA,positive,train
PYCARD,positive,train
IGF1,positive,train
AGER,positive,train
LATS2,positive,train
NLRP3,positive,train
GIT1,positive,train
CHMP4A,positive,train
ORM2,positive,train
BTK,positive,train
TLR6,positive,train
HSPB1,positive,train
F2RL1,positive,train
ISL1,positive,train
NOD2,positive,train
CARD8,positive,train
CHMP4B,positive,train
CASP1,positive,train
STAT3,positive,train
TNFAIP3,positive,train
GBP5,positive,train
HK1,positive,train
IFI16,positive,train
GSDME,positive,train
CD33,positive,train
NLRP6,positive,train
PPP2CA,positive,train
ELP6,positive,train
SIRT2,positive,train
AIM2,positive,train
NEK7,positive,train
TRIM16,positive,train
CX3CR1,positive,train
ZDHHC9,positive,train
S1PR3,positive,train
KCNJ8,positive,train
LGALS9,positive,train
MEFV,positive,train
TP63,positive,train
SIRPA,positive,train
P2RX7,positive,train
GSDMA,positive,train
CASP5,positive,train
NINJ1,positive,train
HMGB1,positive,train
ARRB2,positive,train
IFNG,positive,train
SERPINB1,positive,train
INAVA,positive,train
CHMP4C,positive,train
IL18,positive,train
PYDC2,positive,train
DHX9,positive,train
EGR1,positive,train
TP53,positive,train
DPP9,positive,train
MALT1,positive,train
IFI27,positive,train
FOXP1,positive,train
ZBP1,positive,train
EIF2AK2,positive,train
BAK1,positive,train
MARK4,positive,train
NLRP12,positive,train
MARCHF5,positive,train
ATAT1,positive,train
CLEC7A,positive,train
LAMP2,positive,train
CHMP2A,positive,train
IL17A,positive,train
APIP,positive,train
ZEB2,positive,train
IRF1,positive,train
PTPN22,positive,train
GSTP1,positive,train
IRGM,positive,train
GZMB,positive,train
CASP4,positive,train
KCNK13,positive,train
CHMP3,positive,train
NLRC3,positive,train
AZU1,positive,train
GKN2,positive,train
IL6,positive,train
IRF2,positive,train
CCL19,positive,train
KCNK6,positive,train
TRIM11,positive,train
WNT5A,positive,train
IL1A,positive,train
TREM2,positive,train
CSNK1A1,positive,train
SPHK1,positive,train
IL1B,positive,train
TRIM31,positive,train
CX3CL1,positive,train
ABHD8,positive,train
GSDMD,positive,train
NAIP,positive,train
FFAR1,positive,train
MAP3K20,positive,train
USP50,positive,train
ELF4,positive,train
RIPK2,positive,train
ZDHHC5,positive,train
TLR8,positive,train
ORM1,positive,train
FZD5,positive,train
FBXL2,positive,train
CASP8,positive,train
APP,positive,train
ARG2,positive,train
MAPK8,positive,train
STMP1,positive,train
CASP6,positive,train
PYDC1,positive,train
CCR7,positive,train
CHMP6,positive,train
FFAR4,positive,train
GBP3,positive,train
GSDMC,positive,train
APOA1,positive,train
CD36,positive,train
TRIM21,positive,train
HLA_C,housekeeping,external
NEFL,housekeeping,external
RPL12,housekeeping,external
EZR,housekeeping,external
TAP1,housekeeping,external
RPL8,housekeeping,external
MYH9,housekeeping,external
ANAPC5,housekeeping,external
RPS2,housekeeping,external
HLA_DQA1,housekeeping,external
CIITA,housekeeping,external
RFC4,housekeeping,external
TUBA1B,housekeeping,external
CCND3,housekeeping,external
PSMB8,housekeeping,external
RPL26,housekeeping,external
ACTA1,housekeeping,external
CCND2,housekeeping,external
GADD45A,housekeeping,external
RPL28,housekeeping,external
EEF1A1,housekeeping,external
HPRT1,housekeeping,external
RPL6,housekeeping,external
PGK1,housekeeping,external
ACTB,housekeeping,external
CD247,housekeeping,train
LEPR,housekeeping,train
RPL10,housekeeping,train
HLA_DQB1,housekeeping,train
TUBB4A共207条,housekeeping,train
TUBB3,housekeeping,train
SLC2A1,housekeeping,train
RPL14,housekeeping,train
ACTC1,housekeeping,train
RPL24,housekeeping,train
GAPDH,housekeeping,train
CKS2,housekeeping,train
KRT8,housekeeping,train
AVPR1A,housekeeping,train
TAP2,housekeeping,train
GADD45B,housekeeping,train
FEN1,housekeeping,train
HLA_DMB,housekeeping,train
PPIA,housekeeping,train
FZD7,housekeeping,train
HLA_DPB1,housekeeping,train
OXTR,housekeeping,train
RPL18,housekeeping,train
HLA_DPA1,housekeeping,train
BUB3,housekeeping,train
MAPT,housekeeping,train
HLA_DRB1,housekeeping,train
RPL4,housekeeping,train
CD79A,housekeeping,train
LIPG,housekeeping,train
RXFP1,housekeeping,train
ATP1A1,housekeeping,train
PTH1R,housekeeping,train
MYH10,housekeeping,train
RPS8,housekeeping,train
DES,housekeeping,train
HLA_B,housekeeping,train
RPL21,housekeeping,train
CDKN3,housekeeping,train
PUM2,housekeeping,train
KRT1,housekeeping,train
GABBR1,housekeeping,train
RPS18,housekeeping,train
ACTG1,housekeeping,train
RPL31,housekeeping,train
TUBA1A,housekeeping,train
EXO1,housekeeping,train
YWHAZ,housekeeping,train
RPL7,housekeeping,train
RPL35,housekeeping,train
PFN1,housekeeping,train
TAS1R2,housekeeping,train
RAD17,housekeeping,train
CKS1B,housekeeping,train
RPL19,housekeeping,train
CD3D,housekeeping,train
NEFM,housekeeping,train
RPL27,housekeeping,train
ALDH2,housekeeping,train
MAP2,housekeeping,train
CXCR4,housekeeping,train
MSN,housekeeping,train
RPL34,housekeeping,train
RPL3,housekeeping,train
FTH1,housekeeping,train
CD28,housekeeping,train
RPL29,housekeeping,train
MAP1B,housekeeping,train
RPL20,housekeeping,train
TUBB2A共199条,housekeeping,train
RPL17,housekeeping,train
ANAPC7,housekeeping,train
PSMB9,housekeeping,train
RPS6,housekeeping,train
RPL13A,housekeeping,train
PON1,housekeeping,train
CHRM2,housekeeping,train
MC1R,housekeeping,train
RPL23,housekeeping,train
TRAC,housekeeping,train
NEFH,housekeeping,train
RPL30,housekeeping,train
INSR,housekeeping,train
FLNB,housekeeping,train
LYZ,housekeeping,train
MAD2L1,housekeeping,train
RAD9A,housekeeping,train
DRD2,housekeeping,train
TUBB6共399条,housekeeping,train
ALDOA,housekeeping,train
FTL,housekeeping,train
B2M,housekeeping,train
HLA_DRA,housekeeping,train
GUSB8,housekeeping,train
NQO1,housekeeping,train
ACTG2,housekeeping,train
PUM1,housekeeping,train
CTLA4,housekeeping,train
LIG1,housekeeping,train
FGB,housekeeping,train
RPS10,housekeeping,train
FLNA,housekeeping,train
CD74,housekeeping,train
POLR2A,housekeeping,train
TPMT,housekeeping,train
TUBB,housekeeping,train
MT1E,housekeeping,train
TBP,housekeeping,train
ERAP1,housekeeping,train
SSTR2,housekeeping,train
MT2A,housekeeping,train
TRBC1,housekeeping,train
ERAP2,housekeeping,train
ACTA2,housekeeping,train
HMBS,housekeeping,train
RPL15,housekeeping,train
GRM3,housekeeping,train
RDX,housekeeping,train
TUBA3C,housekeeping,train
G6PD,housekeeping,train
SDHA,housekeeping,train
TUBG1共514条,housekeeping,train
RPL32,housekeeping,train
HLA_A,housekeeping,train
GHRHR,housekeeping,train
CD3G,housekeeping,train
ADRB2,housekeeping,train
ALDH1A1,housekeeping,train
RFC1,housekeeping,train
