gene,n,label,acc
AAK1,410.0,1.0,0.848780487804878
ABCB1,31.0,1.0,0.8709677419354839
ABI3,39.0,1.0,0.8717948717948718
ABI3BP,11.0,1.0,1.0
ACKR1,6.0,1.0,1.0
ACTA1,1.0,0.0,1.0
ACTA2,1.0,0.0,1.0
ACTB,21.0,0.0,0.6190476190476191
ACTG1,2.0,0.0,0.5
ADCK5,8.0,1.0,1.0
ADRA2A,6.0,0.0,0.8333333333333334
ADRB2,17.0,0.0,0.9411764705882353
AKT1,37.0,1.0,0.7837837837837838
ALDH2,14.0,0.0,1.0
ALDOA,9.0,0.0,0.4444444444444444
ALOX15B,9.0,1.0,0.7777777777777778
ANAPC5,283.0,0.0,0.5441696113074205
ANAPC7,8.0,0.0,0.875
APAF1,21.0,0.0,0.8571428571428571
ARPC1B,5.0,1.0,1.0
ATP1A1,6.0,0.0,0.8333333333333334
ATR,320.0,1.0,0.7875
ATRAID,9.0,1.0,1.0
AVPR1A,5.0,0.0,0.8
AXL,31.0,1.0,0.7741935483870968
B2M,14.0,0.0,0.7857142857142857
BAK1,46.0,0.0,0.3695652173913043
BCL2,198.0,1.0,0.9393939393939394
BCL2L2,1.0,1.0,0.0
BHLHE40,1.0,1.0,1.0
BLK,9.0,1.0,1.0
BRAF,18.0,1.0,0.9444444444444444
BTG1,16.0,1.0,0.9375
BUB3,71.0,0.0,0.8028169014084507
CARF,131.0,1.0,0.9770992366412213
CASP8,49.0,0.0,0.8775510204081632
CASP9,10.0,0.0,1.0
CCL1,24.0,1.0,0.9583333333333334
CCL2,37.0,1.0,0.972972972972973
CCL3,15.0,1.0,1.0
CCL4,12.0,1.0,1.0
CCL5,10.0,1.0,1.0
CCL7,3.0,1.0,1.0
CCN2,1.0,1.0,1.0
CCN6,2.0,1.0,1.0
CCND1,5.0,1.0,0.8
CCND2,7.0,0.0,0.42857142857142855
CCND3,9.0,0.0,0.8888888888888888
CD82,18.0,1.0,1.0
CDC6,224.0,1.0,0.90625
CDK18,6.0,1.0,1.0
CDKN1B,17.0,1.0,0.7647058823529411
CDKN1C,6.0,1.0,0.8333333333333334
CDKN2A,14.0,1.0,0.9285714285714286
CDKN2AIP,8.0,1.0,1.0
CDKN2B,5.0,1.0,0.8
CDKN3,22.0,0.0,0.8636363636363636
CFTR,40.0,0.0,0.8
CHEK2,10.0,1.0,0.9
CHRM2,1.0,0.0,1.0
CKB,1022.0,1.0,0.8679060665362035
CKS1B,2.0,0.0,1.0
CKS2,7.0,0.0,0.8571428571428571
CREG1,28.0,1.0,0.9642857142857143
CTSB,14.0,1.0,0.7857142857142857
CXCL10,6.0,1.0,1.0
CXCL12,9.0,1.0,1.0
CXCL16,4.0,1.0,0.75
CXCL2,1.0,1.0,1.0
CXCL3,2.0,1.0,1.0
CXCL5,1.0,1.0,1.0
CXCL8,33.0,1.0,1.0
CXCL9,2.0,1.0,1.0
CXCR2,4.0,1.0,0.75
CXCR4,3.0,0.0,0.3333333333333333
CYP2E1,6.0,0.0,0.5
DAO,545.0,1.0,0.9688073394495413
DES,71.0,0.0,0.8873239436619719
DRD2,10.0,0.0,0.9
E2F1,8.0,1.0,1.0
EEF1A1,2.0,0.0,0.5
EGF,8.0,1.0,1.0
EHF,102.0,1.0,0.5294117647058824
ERBB2,21.0,1.0,0.8571428571428571
EREG,627.0,1.0,0.6331738437001595
ERRFI1,7.0,1.0,0.7142857142857143
ERVW,1.0,1.0,1.0
ETS1,8.0,1.0,1.0
ETS2,5.0,1.0,1.0
EXO1,89.0,0.0,0.7415730337078652
EZR,2.0,0.0,1.0
FAS,235.0,0.0,0.8595744680851064
FASTK,5.0,1.0,1.0
FBXO31,15.0,1.0,0.8666666666666667
FBXO4,5.0,1.0,0.8
FEN1,428.0,0.0,0.45093457943925236
FGB,12.0,0.0,0.9166666666666666
FGF2,3.0,1.0,1.0
FGFR3,9.0,1.0,1.0
FLNA,25.0,0.0,0.92
FLNB,10.0,0.0,0.8
FOXO4,2.0,1.0,1.0
FTH1,123.0,0.0,0.3821138211382114
FTL,235.0,0.0,0.5957446808510638
FZD7,3.0,0.0,0.6666666666666666
G6PD,52.0,0.0,0.8461538461538461
GABBR1,15.0,0.0,0.8666666666666667
GADD45A,6.0,0.0,0.8333333333333334
GADD45B,1.0,0.0,0.0
GADD45G,6.0,1.0,0.6666666666666666
GAPDH,128.0,0.0,0.890625
GHRHR,9.0,0.0,0.8888888888888888
GKN1,7.0,1.0,0.7142857142857143
GNMT,12.0,1.0,0.75
GRIK2,39.0,1.0,0.8461538461538461
GRK4,4.0,1.0,1.0
GRK6,4.0,1.0,0.75
GRM3,13.0,0.0,0.7692307692307693
GSTM1,8.0,0.0,1.0
GUSB8,15.0,0.0,0.7333333333333333
HDAC1,11.0,1.0,0.7272727272727273
HEPACAM,20.0,1.0,0.95
HGF,11.0,1.0,0.9090909090909091
